#SampleID	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
GROUP	KLT	KRN	KRN	KLT	KRN	KLT	KRN	KRN	KRN	KLT	KRN	KRN	KLT	KLT	KRN	KLT	KRN	KLT	KRN	KRN	KLT	KLT	KLT	KLT	KLT	KRN	KLT	KRN	KRN	KRN	KLT	KLT	KLT	KLT	KLT	KRN	KLT	KLT	KRN	KRN	KRN	KRN	KLT	KLT	KLT	KLT	KRN	KLT	KRN	KLT	KRN	KLT	KLT	KRN	KRN	KRN	KRN	KRN	KLT
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Acidobacteriales|f_Koribacteraceae|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004986816577115655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Bryobacterales|f_Bryobacteraceae|g_Bryobacter|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009066939231119373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Solibacterales|f_Solibacteraceae|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008500255529174412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Acidobacteriae|o_Solibacterales|f_Solibacteraceae|g_Candidatus Solibacter|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002720081769335812	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_11-24|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00115603475196772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Blastocatellia|o_?|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00029467552501137963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Holophagae|o_Subgroup 7|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045561369636374855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Subgroup 18|o_?|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045334696155596867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Acidobacteriota|c_Vicinamibacteria|o_Vicinamibacterales|f_Vicinamibacteraceae|g_uncultured Acidobacteria bacterium|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003150761382813982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025538545500986237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_?	0.0	0.0	0.00023384140303303006	0.0	0.0	0.0	0.0	4.985522137135763e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0001262580351739288	0.00048070348468028193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.274775418470922e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micrococcaceae|g_Rothia|s_mucilaginosa	0.0	0.0	0.0	0.0	0.0	4.459935387527798e-05	0.0	0.0	0.0	0.0012374914260465477	0.0	0.00010514708259893975	0.00021584658333099267	9.19160367842749e-05	0.0	0.0028842209080816917	0.0	0.0	0.0	0.0	0.0	0.0	0.0001241952141485637	0.0	0.00011062895554285912	0.0	0.0	0.0	4.7833745474035584e-05	4.02275937046292e-05	0.0001337345181925807	0.0	7.236282824479498e-05	0.001158134610913865	0.0	0.0	0.0	0.0	0.0	0.0	8.445162412684303e-05	0.0	0.0	0.0	6.410443874741834e-05	0.0	0.0	0.0	0.0	0.0	0.0001043883411420707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8342065549146058e-05
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Actinomycetales|f_Micromonosporaceae|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005666837019449608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_?	0.01396995783702623	0.01186080955460401	0.0	0.0	0.0	0.0	0.0	0.0006855092938561673	0.0	0.0	0.0	0.0	0.001564887729149697	0.0	0.0	0.0	7.744190472634351e-06	0.0	3.1076972159191356e-05	0.0	7.261999408396542e-05	0.016817847818705038	0.0	0.0	0.0010140987591428753	0.0351776313923126	0.0	0.0006398842379734425	0.0	0.0	0.010899363232695325	0.015186352709751539	0.0	0.0	0.0	0.0	4.428143974810962e-05	0.04387546628700495	0.0008510529659772962	0.00016617890310438731	0.0	0.0	0.0	0.0	0.0	0.0	0.0006883196685648003	0.00011013605421780465	0.040083306634407664	0.0	0.0	0.0	0.06187666244959564	0.00010544455539490883	0.06878391086266254	0.0	0.0	0.02209590774514128	0.0
d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_animalis	0.0	0.01911730938426526	0.0	0.0	0.25864089294273396	0.0	0.0	0.0	0.009746959673453326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.00827370293404e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06526952523074014	0.0	7.997449191176409e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07626849839275204
d_Bacteria|p_Actinobacteriota|c_?|o_?|f_?|g_?|s_?	0.0002834682984439948	0.0	0.0	0.0	0.0	0.0	0.00011856362961648427	0.00040240285821167225	0.0004403941912257981	0.0	4.873326013880758e-06	0.0	0.0001850113571408509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.362834125862576e-06	0.0001241952141485637	0.0	5.26804550204091e-06	0.0	0.0	3.15213910331745e-05	2.0500176631729534e-05	0.0	3.4388876106663606e-05	1.3433306244804545e-05	3.101264067634071e-05	0.0	0.0	0.0	0.0	0.0	8.684213938543839e-06	2.9218268677694473e-05	0.0	4.1293384464046144e-06	0.0	0.0	2.2894442409792264e-05	0.0	4.184314094618847e-06	0.018366498184321515	2.5606200836481775e-05	1.562993816541618e-05	0.0	0.0	3.988954515832622e-06	2.2595261870337606e-05	0.0	0.0	1.752099345433211e-05	9.947137340249675e-06	2.0244332535104326e-05
d_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026974144212580137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_IMCC26256|f_uncultured Aciditerrimonas sp.|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004986816577115655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_?|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016547164096792856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.618141412239749e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Iamiaceae|g_Iamia|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010426980115787279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteriota|c_Acidimicrobiia|o_Microtrichales|f_Microtrichaceae|g_?|s_?	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005440163538671624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_?|f_?|g_?|s_?	0.013064230902804367	0.004383518264448429	7.015242090990902e-05	0.00025125491292260537	0.00024723026531290747	0.005209204532632469	0.01602832067877847	0.010320030823871028	0.0033411671066674894	5.624961027484308e-05	0.0012553687811756834	1.0514708259893975e-05	0.005935781041602299	0.0	0.012682619633221147	6.008793558503524e-06	0.0	0.0015808765196724034	0.006215394431838271	0.0017178378801063759	0.004328151647404339	0.003408617370398253	0.00981763167844396	0.013866440769023262	0.0023822101760228994	0.00010161351571369528	0.017493547446443013	0.0012885944654361737	0.013221247249023434	0.0073857862041699215	0.008163154990475124	0.0037284141482455016	0.0013242397568797482	0.00015750630708428565	0.0011687638499030693	0.0	5.3137727697731544e-05	0.002398604652225981	0.0042512121967151605	0.013232953884127829	0.0	0.00589669530146579	0.0030345560264578722	0.0018467733883116397	0.007583555103819589	8.53061247058817e-05	0.009490024366595545	0.0127978095001089	0.0046244798710686095	0.006717747423495875	1.3918445485609427e-05	5.856457057239526e-05	0.00570181158493115	0.029624647838199635	0.012231732668212276	0.056020479578536	6.745582479917863e-05	0.009998862454418974	0.010299506620559677
d_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_?	8.001121327048241e-06	1.5706709588011364e-05	3.8973567172171676e-05	0.0	3.1696187860629155e-05	1.3008144880289413e-05	8.645264659535311e-06	9.347854007129555e-05	0.0010370311745592784	4.68746752290359e-05	5.685547016194218e-06	5.2573541299469874e-05	8.394033796205271e-05	0.0001570232295064696	0.00023673381595111647	0.002576270238208386	0.000596302666392845	0.00025255799321191244	1.5538486079595678e-05	6.26034212866755e-06	4.034444115775857e-06	0.0	2.5874002947617435e-06	0.0	4.609539814285797e-05	0.0	5.4863276041711956e-05	0.00015445481606255506	3.587530910552669e-05	1.6761497376928835e-05	2.4517995001973124e-05	3.918047654734659e-06	0.0001628163635507887	0.0022969669783124993	0.0	0.0	0.0	0.0	3.208334593962029e-05	6.391496273245666e-06	2.815054137561434e-05	0.0	2.3328382737222264e-05	1.3176179996515696e-05	2.6710182811424308e-06	4.443027328431338e-06	0.0	3.059334839383462e-06	3.7342376219869257e-06	2.0514293842108737e-05	2.899676142835297e-06	1.0457959030784869e-05	2.3268901342356964e-06	3.734494670236355e-05	4.352310229224408e-06	7.946581380266634e-05	5.1102897575135315e-06	7.736662375749747e-06	2.1256549161859542e-05
d_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces gerencseriae	0.0	0.0	0.0	0.0	0.0	2.229967693763899e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.00010792329166549634	0.0	0.0	0.0	0.0	0.0	0.00012430788863676542	2.50413685146702e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7352391789478317e-05	0.0	0.0	0.0	0.0	0.0	5.838304687542834e-05	0.0	4.6419974254498484e-05	0.0
d_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces graevenitzii	0.0	5.385157573032468e-05	0.0	0.0	0.0002852656907456624	0.0	0.0	0.0	2.2667348077798435e-05	0.00011249922054968616	0.0	0.0	0.00010792329166549634	0.00022979009196068725	0.0	0.0006910112592279053	0.0	4.0955350250580394e-05	6.215394431838271e-05	7.51241055440106e-05	4.841332938931028e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.825989489288862e-05	0.0007653399275845693	0.0	8.024071091554841e-05	2.3508285928407954e-05	0.0	0.0005095792288021007	0.0	0.0	0.0	0.0	0.0	0.0	8.445162412684303e-05	0.0	0.000391916829985334	0.0	9.61566581211275e-05	5.331632794117606e-05	0.0	0.0	0.0	0.0	0.0	4.1831836123139475e-05	0.0	5.2722277697454415e-05	0.0	0.00011676609375085667	0.0	0.0	2.8342065549146058e-05
d_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces massiliensis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.50413685146702e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.566749094807117e-05	0.0	0.0001337345181925807	2.3508285928407954e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6361138848727208e-05	0.0	0.0	0.0	0.0	0.0
d_Bacteria|p_Actinobacteriota|c_Actinobacteria|o_Actinomycetales|f_Actinomycetaceae|g_Actinomyces|s_Actinomyces naeslundii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.624961027484308e-05	0.0	0.0	0.00010792329166549634	9.19160367842749e-05	0.0002840805791413398	3.004396779251762e-05	0.0	0.0005324195532575452	0.0	0.0	0.0	0.0	0.0	0.0	7.375263702857275e-05	0.0	0.0	4.412994744644431e-05	0.0	0.0	0.00010698761455406455	2.3508285928407954e-05	0.0	0.0007412061509848737	0.0	0.0	0.0012398803129470694	0.0	0.0	0.0	0.0	0.0	2.7994059284666714e-05	0.0	0.0	0.0	0.0	0.0	8.962170292768622e-05	0.0	0.0	0.0	2.7922681610828355e-05	2.6361138848727208e-05	0.0	7.784406250057112e-05	0.0	2.3209987127249242e-05	0.0
