Species	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;?	0	0	2	0	0	0	0	2	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia;mucilaginosa	0	0	0	0	0	2	0	0	0	22	0	2	6	2	0	96	0	0	0	0	0	0	0	4	0	3	0	0	0	1	1	5	0	2	25	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micromonosporaceae;?;?	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;?	873	881	0	0	0	0	0	55	0	0	0	0	87	0	0	0	1	0	1	0	0	3	896	0	0	55	2908	0	29	0	0	815	1292	0	0	0	0	1	5173	84	13	0	0	0	0	0	0	47	6	1789	0	0	0	4432	8	5268	0	0	1904	0
Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;animalis	0	710	0	0	5440	0	0	0	430	0	0	0	0	0	0	0	0	0	0	614	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2064	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2691
Bacteria;Actinobacteriota;?;?;?;?;?	62	0	0	0	0	0	16	113	136	0	1	0	36	0	0	0	0	0	0	0	0	0	1	28	0	1	0	0	5	3	0	9	4	6	0	0	0	0	0	3	8	0	1	0	0	5	0	1	3502	4	4	0	0	1	6	0	0	4	3	5
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;?;?;?	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;IMCC26256;uncultured Aciditerrimonas sp.;?;?	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;?;?;?	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;?	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;?;?	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;?;?;?;?	2041	814	3	48	26	1168	1545	2070	737	5	184	1	825	0	2009	1	0	193	500	1023	343	447	454	1581	7	323	21	2790	146	1382	918	1526	793	183	17	133	0	3	707	1049	2588	0	1020	542	292	1183	16	1620	1743	516	1228	2	14	1021	5619	2342	14393	11	2154	1817
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;?	3	7	4	0	8	7	2	45	549	10	2	12	28	41	90	1029	462	74	3	1	3	1	0	1	0	15	0	21	42	9	5	11	2	54	595	0	0	0	0	19	3	4	0	10	5	1	2	0	1	1	9	1	6	1	17	2	49	2	4	9
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces gerencseriae	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	2	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces graevenitzii	0	2	0	0	6	0	0	0	1	2	0	0	3	5	0	23	0	1	1	4	3	1	0	0	0	0	0	0	2	16	0	3	1	0	11	0	0	0	0	0	0	1	0	14	0	3	2	0	0	0	0	0	2	0	2	0	6	0	0	1
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces naeslundii	0	0	0	0	0	0	0	0	0	1	0	0	3	2	9	1	0	13	0	0	0	0	0	0	0	2	0	0	1	0	0	4	1	0	16	0	0	14	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	4	0	1	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. oral strain Hal-1083	23	4	0	0	0	0	3	3	12	4	0	2	66	4	139	0	0	0	0	2	1	0	1	3	0	11	0	10	10	7	0	18	0	7	73	0	0	0	2	2	6	0	2	0	4	6	0	0	0	0	8	0	2	2	16	0	2	0	2	2
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces sp. ph3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	58	0	0	1	0	4	0	1	0	0	1	0	14	0	4	1	2	0	0	21	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Actinomyces viscosus	0	0	0	0	3	0	0	0	0	1	0	0	1	3	6	0	1	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	3	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Chlamydia trachomatis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Pauljensenia hongkongensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Schaalia odontolytica	2	0	0	0	1	0	0	0	0	1	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;F0332;?	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	11	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	2	5
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;F0332;Actinobaculum sp.	0	0	0	0	0	0	0	3	0	0	2	0	0	0	15	17	0	0	0	0	0	1	0	0	0	1	0	1	0	3	0	0	0	6	11	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	1	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;Mobiluncus curtisii	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;?	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;?;?;?	1	0	2	0	0	1	0	1	4	26	0	7	5	9	13	35	0	53	2	0	0	1	0	3	0	7	0	1	3	13	0	53	3	12	47	0	0	0	0	5	18	0	8	0	0	0	0	0	1	0	8	0	5	0	22	0	1	0	1	2
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;?;?	0	0	4	0	0	2	3	3	0	11	0	7	0	11	58	123	1	1	0	5	2	0	1	0	0	2	0	0	2	9	6	0	0	18	455	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	8	6	0	2	1	1
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;Alloscardovia omnicolens	0	0	0	0	0	0	0	0	0	0	0	2	0	0	38	3	13	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	51	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;?	12	5	0	2011	16055	0	7312	11530	24	14738	1229	19468	523	0	0	18538	323	0	19	130	0	621	4	148	10	65	0	597	0	204	7924	12741	3	105	33205	1	10	0	34	1760	4	61	108	958	51	3560	7861	7	335	0	877	80	10	2657	5248	70	38	0	0	2684
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis	35	10	0	333	110	0	0	272	26	0	96	4	77	0	0	27	0	0	745	1978	0	485	185	1133	10	11	1	2	1	595	0	0	131	0	350	26	0	0	101	106	39	2043	236	0	326	297	0	121	737	0	443	0	250	287	1116	14	0	0	0	202
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis	0	0	0	0	0	0	0	0	0	52	0	0	1616	0	0	0	0	865	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2676	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	43	0	0	0	0	0	4	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium bifidum	0	200	0	1237	210	0	869	6419	622	0	298	0	0	0	0	1	0	0	441	9607	0	4659	122	2983	9	3950	0	3	0	1174	1	7564	0	88	3	81	0	0	1324	672	0	2035	633	1730	7	670	1046	1	6	0	2043	1	0	1092	2279	241	3	0	0	1038
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium breve	0	0	0	0	0	0	775	0	0	0	0	899	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	151	0	0	0	5356	0	0	0	0	31	0	0	0	10767	0	0	0	0	0	0	92	0	0	0	22	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium gallicum	2	0	0	0	2	0	2	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum	217	44	0	2546	3586	1	6079	1243	750	48554	550	101	3984	0	203	27	0	4	1	912	42	16744	2659	1364	34	10392	4	14357	0	3518	4664	2715	755	30	78	92	4	3	1700	1910	140	4448	1115	2401	1321	2261	6	77	9226	2	6027	44	2199	3207	7806	624	3	0	66	1795
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium sp. F-10	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	31	63	0	24	5	3	0	0	0	0	0	30	0	0	12	0	2	0	0	0	5	0	2	52	8	0	10	3	0	3	19	0	15	0	11	10	33	4	0	0	0	3
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Parascardovia;Parascardovia denticolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;?	0	0	2	8003	1	2	0	5	72	0	0	1	2	0	1	16	4	6	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	6	11	0	0	4	0	0	0	23	1	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	1
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium argentoratense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium imitans	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pyruviciproducens	0	0	0	82	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium striatum	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;?	0	0	0	367	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;?	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;?	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;?;?;?	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus;?	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Frankiaceae;?;?	0	0	0	0	0	0	0	0	70	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;?;?;?	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Calidifontibacter;Calidifontibacter indicus	0	0	0	169	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;?;?	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;?;?	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacterium;?	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
